교육청명,교육지원청명,유치원코드,유치원명,설립유형,독립편성학급수,오후재편성학급수,운영시간,독립편성참여원아수,오후재편성참여원아수,정규교사수,기간제교사수,강사수,공시차수,주소
서울특별시교육청,북부교육지원청,0c4bc461-9f36-4d28-94e3-3dfb9c6cd4e3,서울상계초등학교병설유치원,공립(병설),0,1,07시30분~19시30분,0,12,0,0,2,20241,서울특별시 노원구 상계로9길 39
서울특별시교육청,북부교육지원청,1ecec08c-ed86-b044-e053-0a32095ab044,한울유치원,사립(사인),0,1,08시00분~17시00분,,23,2,0,0,20211,서울특별시 노원구 덕릉로122길 12-6
서울특별시교육청,북부교육지원청,1ecec08c-ed88-b044-e053-0a32095ab044,효천유치원,사립(사인),0,4,07시50분~19시00분,0,91,4,0,0,20241,서울특별시 노원구 중계로18길 14
서울특별시교육청,북부교육지원청,1ecec08c-ef26-b044-e053-0a32095ab044,키즈위즈유치원,사립(사인),0,1,08시00분~18시00분,0,20,1,0,0,20241,서울특별시 노원구 덕릉로86길 65
서울특별시교육청,북부교육지원청,1ecec08c-efcd-b044-e053-0a32095ab044,공릉 사라유치원,사립(사인),5,0,07시30분~19시00분,76,0,5,0,0,20241,서울특별시 노원구 동일로198가길 13
서울특별시교육청,북부교육지원청,1ecec08c-efce-b044-e053-0a32095ab044,상원유치원,사립(사인),0,5,07시00분~19시00분,,73,5,0,0,20241,서울특별시 노원구 노원로19길 33
서울특별시교육청,북부교육지원청,1ecec08c-efcf-b044-e053-0a32095ab044,서울수락초등학교병설유치원,공립(병설),0,2,07시30분~19시30분,0,20,0,0,3,20241,서울특별시 노원구 동일로 1745
서울특별시교육청,북부교육지원청,1ecec08c-efd7-b044-e053-0a32095ab044,육사유치원,사립(사인),0,2,07시30분~19시30분,0,42,2,0,0,20241,서울특별시 노원구 화랑로 564
서울특별시교육청,북부교육지원청,1ecec08c-f082-b044-e053-0a32095ab044,온누리유치원,사립(사인),6,0,07시30분~19시30분,115,0,4,0,2,20241,서울특별시 노원구 동일로227길 47
서울특별시교육청,북부교육지원청,1ecec08c-f12b-b044-e053-0a32095ab044,꽃동산유치원,사립(법인),1,0,09시00분~18시00분,15,0,0,0,0,20241,서울특별시 노원구 공릉로 257
서울특별시교육청,북부교육지원청,1ecec08c-f200-b044-e053-0a32095ab044,학여울유치원,사립(사인),0,6,07시30분~19시30분,,6,13,0,0,20241,서울특별시 노원구 동일로207길 186
